Block 0: res=b6, exp=b6
Block 1: res=b6, exp=b6
Block 2: res=b4, exp=b4
Block 3: res=b7, exp=b7
Block 4: res=b8, exp=b8
Block 5: res=b6, exp=b6
Block 6: res=b3, exp=b3
Block 7: res=b3, exp=b3
Block 8: res=b2, exp=b2
Block 9: res=b3, exp=b3
Block 10: res=af, exp=af
Block 11: res=ae, exp=ae
Block 12: res=af, exp=af
Block 13: res=ad, exp=ad
Block 14: res=ae, exp=ae
Block 15: res=ae, exp=ae
Block 16: res=af, exp=af
Block 17: res=b1, exp=b1
Block 18: res=b5, exp=b5
Block 19: res=b9, exp=b9
Block 20: res=ba, exp=ba
Block 21: res=bf, exp=bf
Block 22: res=c3, exp=c3
Block 23: res=c2, exp=c2
Block 24: res=c0, exp=c0
Block 25: res=c0, exp=c0
Block 26: res=bf, exp=bf
Block 27: res=b7, exp=b7
Block 28: res=ab, exp=ab
Block 29: res=a5, exp=a5
Block 30: res=91, exp=91
Block 31: res=80, exp=80
Block 32: res=70, exp=70
Block 33: res=6a, exp=6a
Block 34: res=6b, exp=6b
Block 35: res=71, exp=71
Block 36: res=74, exp=74
Block 37: res=75, exp=75
Block 38: res=76, exp=76
Block 39: res=79, exp=79
Block 40: res=7a, exp=7a
Block 41: res=77, exp=77
Block 42: res=78, exp=78
Block 43: res=7a, exp=7a
Block 44: res=79, exp=79
Block 45: res=79, exp=79
Block 46: res=7b, exp=7b
Block 47: res=7a, exp=7a
Block 48: res=7b, exp=7b
Block 49: res=7b, exp=7b
Block 50: res=77, exp=77
Block 51: res=79, exp=79
Block 52: res=7e, exp=7e
Block 53: res=80, exp=80
Block 54: res=83, exp=83
Block 55: res=86, exp=86
Block 56: res=84, exp=84
Block 57: res=8a, exp=8a
Block 58: res=8a, exp=8a
Block 59: res=8a, exp=8a
Block 60: res=8f, exp=8f
Block 61: res=8f, exp=8f
Block 62: res=8e, exp=8e
Block 63: res=94, exp=94
Block 64: res=94, exp=94
Block 65: res=94, exp=94
Block 66: res=92, exp=92
Block 67: res=93, exp=93
Block 68: res=97, exp=97
Block 69: res=98, exp=98
Block 70: res=94, exp=94
Block 71: res=93, exp=93
Block 72: res=91, exp=91
Block 73: res=92, exp=92
Block 74: res=93, exp=93
Block 75: res=92, exp=92
Block 76: res=92, exp=92
Block 77: res=93, exp=93
Block 78: res=97, exp=97
Block 79: res=96, exp=96
Block 80: res=94, exp=94
Block 81: res=96, exp=96
Block 82: res=96, exp=96
Block 83: res=97, exp=97
Block 84: res=96, exp=96
Block 85: res=97, exp=97
Block 86: res=96, exp=96
Block 87: res=97, exp=97
Block 88: res=97, exp=97
Block 89: res=96, exp=96
Block 90: res=95, exp=95
Block 91: res=94, exp=94
Block 92: res=97, exp=97
Block 93: res=98, exp=98
Block 94: res=95, exp=95
Block 95: res=95, exp=95
Block 96: res=97, exp=97
Block 97: res=96, exp=96
Block 98: res=99, exp=99
Block 99: res=99, exp=99
Block 100: res=99, exp=99
Block 101: res=98, exp=98
Block 102: res=99, exp=99
Block 103: res=97, exp=97
Block 104: res=97, exp=97
Block 105: res=97, exp=97
Block 106: res=97, exp=97
Block 107: res=93, exp=93
Block 108: res=91, exp=91
Block 109: res=93, exp=93
Block 110: res=94, exp=94
Block 111: res=93, exp=93
Block 112: res=93, exp=93
Block 113: res=96, exp=96
Block 114: res=96, exp=96
Block 115: res=95, exp=95
Block 116: res=94, exp=94
Block 117: res=94, exp=94
Block 118: res=93, exp=93
Block 119: res=96, exp=96
Block 120: res=97, exp=97
Block 121: res=96, exp=96
Block 122: res=96, exp=96
Block 123: res=98, exp=98
Block 124: res=96, exp=96
Block 125: res=94, exp=94
Block 126: res=92, exp=92
Block 127: res=99, exp=99
Block 128: res=9c, exp=9c
Block 129: res=99, exp=99
Block 130: res=92, exp=92
Block 131: res=91, exp=91
Block 132: res=94, exp=94
Block 133: res=94, exp=94
Block 134: res=95, exp=95
Block 135: res=93, exp=93
Block 136: res=91, exp=91
Block 137: res=92, exp=92
Block 138: res=92, exp=92
Block 139: res=95, exp=95
Block 140: res=92, exp=92
Block 141: res=8f, exp=8f
Block 142: res=92, exp=92
Block 143: res=92, exp=92
Block 144: res=91, exp=91
Block 145: res=91, exp=91
Block 146: res=92, exp=92
Block 147: res=90, exp=90
Block 148: res=90, exp=90
Block 149: res=90, exp=90
Block 150: res=91, exp=91
Block 151: res=91, exp=91
Block 152: res=8c, exp=8c
Block 153: res=8a, exp=8a
Block 154: res=88, exp=88
Block 155: res=88, exp=88
Block 156: res=83, exp=83
Block 157: res=7f, exp=7f
Block 158: res=7c, exp=7c
Block 159: res=74, exp=74
Block 160: res=7c, exp=7c
Block 161: res=85, exp=85
Block 162: res=91, exp=91
Block 163: res=9b, exp=9b
Block 164: res=a1, exp=a1
Block 165: res=a8, exp=a8
Block 166: res=ac, exp=ac
Block 167: res=b0, exp=b0
Block 168: res=b4, exp=b4
Block 169: res=b4, exp=b4
Block 170: res=b4, exp=b4
Block 171: res=b1, exp=b1
Block 172: res=a8, exp=a8
Block 173: res=ab, exp=ab
Block 174: res=ab, exp=ab
Block 175: res=ac, exp=ac
Block 176: res=ae, exp=ae
Block 177: res=ae, exp=ae
Block 178: res=b0, exp=b0
Block 179: res=ae, exp=ae
Block 180: res=b1, exp=b1
Block 181: res=b1, exp=b1
Block 182: res=ae, exp=ae
Block 183: res=ac, exp=ac
Block 184: res=ad, exp=ad
Block 185: res=ab, exp=ab
Block 186: res=ac, exp=ac
Block 187: res=ab, exp=ab
Block 188: res=ab, exp=ab
Block 189: res=ad, exp=ad
Block 190: res=af, exp=af
Block 191: res=ab, exp=ab
Block 192: res=ae, exp=ae
Block 193: res=b0, exp=b0
Block 194: res=b1, exp=b1
Block 195: res=ae, exp=ae
Block 196: res=b2, exp=b2
Block 197: res=b3, exp=b3
Block 198: res=b1, exp=b1
Block 199: res=ae, exp=ae
Block 200: res=af, exp=af
Block 201: res=c5, exp=c5
Block 202: res=e0, exp=e0
Block 203: res=ea, exp=ea
Block 204: res=ed, exp=ed
Block 205: res=f1, exp=f1
Block 206: res=f5, exp=f5
Block 207: res=f5, exp=f5
Block 208: res=f5, exp=f5
Block 209: res=ed, exp=ed
Block 210: res=d5, exp=d5
Block 211: res=a7, exp=a7
Block 212: res=7e, exp=7e
Block 213: res=74, exp=74
Block 214: res=77, exp=77
Block 215: res=7d, exp=7d
Block 216: res=83, exp=83
Block 217: res=84, exp=84
Block 218: res=86, exp=86
Block 219: res=8a, exp=8a
Block 220: res=8b, exp=8b
Block 221: res=86, exp=86
Block 222: res=89, exp=89
Block 223: res=88, exp=88
Block 224: res=8a, exp=8a
Block 225: res=8c, exp=8c
Block 226: res=89, exp=89
Block 227: res=87, exp=87
Block 228: res=89, exp=89
Block 229: res=89, exp=89
Block 230: res=88, exp=88
Block 231: res=89, exp=89
Block 232: res=8c, exp=8c
Block 233: res=8b, exp=8b
Block 234: res=8b, exp=8b
Block 235: res=8c, exp=8c
Block 236: res=8f, exp=8f
Block 237: res=8b, exp=8b
Block 238: res=8b, exp=8b
Block 239: res=87, exp=87
Block 240: res=8d, exp=8d
Block 241: res=8d, exp=8d
Block 242: res=8f, exp=8f
Block 243: res=8e, exp=8e
Block 244: res=8d, exp=8d
Block 245: res=8e, exp=8e
Block 246: res=8e, exp=8e
Block 247: res=8a, exp=8a
Block 248: res=86, exp=86
Block 249: res=85, exp=85
Block 250: res=84, exp=84
Block 251: res=8e, exp=8e
Block 252: res=af, exp=af
Block 253: res=be, exp=be
Block 254: res=be, exp=be
Block 255: res=a9, exp=a9
Block 256: res=b6, exp=b6
Block 257: res=b5, exp=b5
Block 258: res=b5, exp=b5
Block 259: res=b8, exp=b8
Block 260: res=b8, exp=b8
Block 261: res=b5, exp=b5
Block 262: res=b3, exp=b3
Block 263: res=b3, exp=b3
Block 264: res=b2, exp=b2
Block 265: res=b3, exp=b3
Block 266: res=b0, exp=b0
Block 267: res=ae, exp=ae
Block 268: res=af, exp=af
Block 269: res=ad, exp=ad
Block 270: res=ae, exp=ae
Block 271: res=ae, exp=ae
Block 272: res=b0, exp=b0
Block 273: res=b1, exp=b1
Block 274: res=b6, exp=b6
Block 275: res=b9, exp=b9
Block 276: res=ba, exp=ba
Block 277: res=bf, exp=bf
Block 278: res=c2, exp=c2
Block 279: res=c2, exp=c2
Block 280: res=c1, exp=c1
Block 281: res=c0, exp=c0
Block 282: res=bf, exp=bf
Block 283: res=b7, exp=b7
Block 284: res=ab, exp=ab
Block 285: res=a5, exp=a5
Block 286: res=91, exp=91
Block 287: res=80, exp=80
Block 288: res=70, exp=70
Block 289: res=6a, exp=6a
Block 290: res=6b, exp=6b
Block 291: res=71, exp=71
Block 292: res=74, exp=74
Block 293: res=75, exp=75
Block 294: res=76, exp=76
Block 295: res=7a, exp=7a
Block 296: res=7b, exp=7b
Block 297: res=78, exp=78
Block 298: res=78, exp=78
Block 299: res=7a, exp=7a
Block 300: res=79, exp=79
Block 301: res=79, exp=79
Block 302: res=7a, exp=7a
Block 303: res=7a, exp=7a
Block 304: res=7b, exp=7b
Block 305: res=7b, exp=7b
Block 306: res=77, exp=77
Block 307: res=79, exp=79
Block 308: res=7e, exp=7e
Block 309: res=80, exp=80
Block 310: res=83, exp=83
Block 311: res=85, exp=85
Block 312: res=85, exp=85
Block 313: res=8a, exp=8a
Block 314: res=8a, exp=8a
Block 315: res=8a, exp=8a
Block 316: res=8f, exp=8f
Block 317: res=8f, exp=8f
Block 318: res=8e, exp=8e
Block 319: res=94, exp=94
Block 320: res=94, exp=94
Block 321: res=93, exp=93
Block 322: res=92, exp=92
Block 323: res=93, exp=93
Block 324: res=97, exp=97
Block 325: res=97, exp=97
Block 326: res=95, exp=95
