Block 0: res=ff, exp=ff
Block 1: res=ff, exp=ff
Block 2: res=ff, exp=ff
Block 3: res=ff, exp=ff
Block 4: res=ff, exp=ff
Block 5: res=ff, exp=ff
Block 6: res=ff, exp=ff
Block 7: res=ff, exp=ff
Block 8: res=ff, exp=ff
Block 9: res=ff, exp=ff
Block 10: res=ff, exp=ff
Block 11: res=ff, exp=ff
Block 12: res=ff, exp=ff
Block 13: res=ff, exp=ff
Block 14: res=ff, exp=ff
Block 15: res=ff, exp=ff
Block 16: res=ff, exp=ff
Block 17: res=ff, exp=ff
Block 18: res=ff, exp=ff
Block 19: res=ff, exp=ff
Block 20: res=ff, exp=ff
Block 21: res=ff, exp=ff
Block 22: res=ff, exp=ff
Block 23: res=ff, exp=ff
Block 24: res=ff, exp=ff
Block 25: res=ff, exp=ff
Block 26: res=ff, exp=ff
Block 27: res=ff, exp=ff
Block 28: res=ff, exp=ff
Block 29: res=ff, exp=ff
Block 30: res=ff, exp=ff
Block 31: res=ff, exp=ff
Block 32: res=ff, exp=ff
Block 33: res=ff, exp=ff
Block 34: res=ff, exp=ff
Block 35: res=ff, exp=ff
Block 36: res=ff, exp=ff
Block 37: res=ff, exp=ff
Block 38: res=ff, exp=ff
Block 39: res=ff, exp=ff
Block 40: res=ff, exp=ff
Block 41: res=ff, exp=ff
Block 42: res=ff, exp=ff
Block 43: res=ff, exp=ff
Block 44: res=ff, exp=ff
Block 45: res=ff, exp=ff
Block 46: res=ff, exp=ff
Block 47: res=ff, exp=ff
Block 48: res=ff, exp=ff
Block 49: res=ff, exp=ff
Block 50: res=ff, exp=ff
Block 51: res=ff, exp=ff
Block 52: res=ff, exp=ff
Block 53: res=ff, exp=ff
Block 54: res=ff, exp=ff
Block 55: res=ff, exp=ff
Block 56: res=ff, exp=ff
Block 57: res=ff, exp=ff
Block 58: res=ff, exp=ff
Block 59: res=ff, exp=ff
Block 60: res=ff, exp=ff
Block 61: res=ff, exp=ff
Block 62: res=ff, exp=ff
Block 63: res=ff, exp=ff
Block 64: res=ff, exp=ff
Block 65: res=ff, exp=ff
